species,precision,recall,f1_score,support
Acinetobacter oryzae,1.0,0.3333333333333333,0.5,6
Acinetobacter seifertii,0.8888888888888888,0.8888888888888888,0.8888888888888888,9
Arthrobacter gandavensis,1.0,1.0,1.0,20
Aureobasidium melanogenum,1.0,0.6666666666666666,0.8,6
Bacillus aerius,1.0,1.0,1.0,7
Bacillus cabrialesii,1.0,1.0,1.0,7
Bacillus cereus,0.9722222222222222,1.0,0.9859154929577465,35
Bacillus haynesii,1.0,1.0,1.0,6
Bacillus infantis,1.0,1.0,1.0,11
Bacillus manliponensis,1.0,1.0,1.0,10
Bacillus piscis,1.0,1.0,1.0,7
Bacillus pumilus,0.9333333333333333,0.875,0.9032258064516129,16
Bacillus subtilis,1.0,0.9545454545454546,0.9767441860465116,22
Bacillus thuringiensis,0.8888888888888888,1.0,0.9411764705882353,8
Brachybacterium conglomeratum,1.0,1.0,1.0,10
Brachybacterium paraconglomeratum,0.9523809523809523,1.0,0.975609756097561,20
Brevibacillus agri,1.0,0.9090909090909091,0.9523809523809523,22
Brevundimonas huaxiensis,1.0,1.0,1.0,7
Burkholderia arboris,0.0,0.0,0.0,0
Chryseobacterium hagamense,1.0,1.0,1.0,20
Chryseobacterium indologenes,1.0,1.0,1.0,11
Chryseobacterium mulctrae,1.0,1.0,1.0,20
Enterobacter quasihormaechei,0.9047619047619048,1.0,0.95,19
Enterococcus innesii,1.0,1.0,1.0,10
Faucicola osloensis,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
Kocuria rhizophila,1.0,1.0,1.0,19
Methylorubrum populi,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
Micrococcus yunnanensis,1.0,1.0,1.0,10
Pantoea ananatis,1.0,1.0,1.0,16
Priestia megaterium,1.0,1.0,1.0,23
Pseudescherichia vulneris,0.9444444444444444,1.0,0.9714285714285714,17
Pseudomonas parafulva,1.0,0.6666666666666666,0.8,6
Ralstonia pickettii,0.8823529411764706,0.9375,0.9090909090909091,16
Serratia marcescens,0.7777777777777778,1.0,0.875,21
Sphingomonas leidyi,0.5,0.2,0.2857142857142857,5
Staphylococcus capitis,1.0,0.8181818181818182,0.9,11
Staphylococcus cohnii,0.8125,1.0,0.896551724137931,13
Staphylococcus epidermidis,0.9375,1.0,0.967741935483871,15
Staphylococcus petrasii,1.0,0.16666666666666666,0.2857142857142857,6
Staphylococcus roterodami,0.95,1.0,0.9743589743589743,19
Staphylococcus taiwanensis,0.8181818181818182,0.9473684210526315,0.8780487804878049,19
Staphylococcus ureilyticu,0.9615384615384616,1.0,0.9803921568627451,25
Stenotrophomonas maltophilia,0.9333333333333333,1.0,0.9655172413793104,14
Stenotrophomonas pavanii,1.0,1.0,1.0,15
