species,precision,recall,f1_score,support
Acinetobacter oryzae,0.5,0.16666666666666666,0.25,6
Acinetobacter seifertii,0.9,1.0,0.9473684210526315,9
Arthrobacter gandavensis,1.0,1.0,1.0,20
Aureobasidium melanogenum,1.0,0.6666666666666666,0.8,6
Bacillus aerius,1.0,1.0,1.0,7
Bacillus cabrialesii,1.0,1.0,1.0,7
Bacillus cereus,0.9459459459459459,1.0,0.9722222222222222,35
Bacillus haynesii,1.0,1.0,1.0,6
Bacillus infantis,1.0,1.0,1.0,11
Bacillus manliponensis,1.0,0.9,0.9473684210526315,10
Bacillus piscis,1.0,0.8571428571428571,0.9230769230769231,7
Bacillus pumilus,1.0,0.9375,0.967741935483871,16
Bacillus subtilis,0.9130434782608695,0.9545454545454546,0.9333333333333333,22
Bacillus thuringiensis,0.8571428571428571,0.75,0.8,8
Brachybacterium conglomeratum,1.0,1.0,1.0,10
Brachybacterium paraconglomeratum,0.9523809523809523,1.0,0.975609756097561,20
Brevibacillus agri,1.0,0.9545454545454546,0.9767441860465116,22
Brevundimonas huaxiensis,1.0,1.0,1.0,7
Burkholderia arboris,0.0,0.0,0.0,0
Chryseobacterium hagamense,1.0,1.0,1.0,20
Chryseobacterium indologenes,1.0,1.0,1.0,11
Chryseobacterium mulctrae,1.0,1.0,1.0,20
Enterobacter quasihormaechei,0.9047619047619048,1.0,0.95,19
Enterococcus innesii,1.0,1.0,1.0,10
Faucicola osloensis,1.0,0.8571428571428571,0.9230769230769231,7
Kocuria rhizophila,1.0,1.0,1.0,19
Methylorubrum populi,1.0,1.0,1.0,7
Micrococcus yunnanensis,1.0,0.9,0.9473684210526315,10
Pantoea ananatis,1.0,1.0,1.0,16
Priestia megaterium,1.0,1.0,1.0,23
Pseudescherichia vulneris,0.8947368421052632,1.0,0.9444444444444444,17
Pseudomonas parafulva,1.0,0.5,0.6666666666666666,6
Ralstonia pickettii,0.875,0.875,0.875,16
Serratia marcescens,0.7407407407407407,0.9523809523809523,0.8333333333333334,21
Sphingomonas leidyi,0.0,0.0,0.0,5
Staphylococcus capitis,0.9166666666666666,1.0,0.9565217391304348,11
Staphylococcus cohnii,0.8666666666666667,1.0,0.9285714285714286,13
Staphylococcus epidermidis,1.0,1.0,1.0,15
Staphylococcus petrasii,1.0,0.6666666666666666,0.8,6
Staphylococcus roterodami,1.0,1.0,1.0,19
Staphylococcus taiwanensis,0.9,0.9473684210526315,0.9230769230769231,19
Staphylococcus ureilyticu,1.0,1.0,1.0,25
Stenotrophomonas maltophilia,0.7777777777777778,1.0,0.875,14
Stenotrophomonas pavanii,1.0,1.0,1.0,15
